"","year","group_name","team_id","country_name.x","country_code","matches_played","wins","draws","losses","goals_for","goals_against","goal_difference","points","rank","teams_qualifying","qualified","min_qualifier_points","max_non_qualifier_points","points_gap","tie_at_cutoff","treatment","points_diff","country_name.y","bicc_milper","bicc_milexp","bicc_gmi","wdi_expmil","wdi_pop","wdi_popurb","wdi_birth","wdi_death","wdi_mortinf","wdi_lifexp","wpp_medianage","wpp_sexratio","wdi_export","wdi_import","wdi_gdpcapcon2015","wdi_gdpgr","wdi_area","vdem_polyarchy","ht_colonial","atop_number","wdi_pop_log","v2paseatshare","milex","milex5yb","milex3yb","milex1yb","milex5ya","milex3ya","milex1ya","dmilex","dmilex5yb","dmilex3yb","dmilex1yb","dmilex5ya","dmilex3ya","dmilex1ya"
"43",1962,"Group 4","T-03","Argentina","ARG",3,1,1,1,2,3,-1,4,3,1,0,7,4,3,FALSE,0,-3,"Argentina",NA,NA,NA,2.66,21072538,73.1728787774807,23.753,8.712,NA,64.618,25.631,99.936,4.69184275899831,9.38368289056535,7480.27172420174,-0.852021521903339,2736690,0.274,2,2,16.8634812341503,NA,2.66,3.04370907803929,NA,NA,3.85289574058252,3.89118320865712,NA,NA,-1.43,NA,NA,2.68,NA,NA
"44",1966,"Group 1","T-28","England","ENG",3,2,1,0,4,0,4,7,1,1,1,7,5,2,FALSE,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39868330737835,NA,2.66,NA,1.168,NA,NA,-0.65,NA,NA,NA,-2.72,NA
"45",1966,"Group 1","T-84","Uruguay","URY",3,1,2,0,2,1,1,5,2,1,0,7,5,2,FALSE,0,-2,"Uruguay",NA,NA,NA,NA,2707646,81.3172789268926,20.854,9.666,51.6,68.302,28.502,99.524,17.1282051282051,11.4871794871795,6682.54699505643,3.06285593493642,175020,0.759,2,2,14.8115901806878,32.3333333333333,NA,NA,NA,NA,NA,3.85289574058252,3.89118320865712,NA,NA,NA,NA,NA,2.68,NA
"46",1966,"Group 2","T-86","West Germany","DEU",3,2,1,0,7,1,6,7,1,1,1,7,7,0,TRUE,1,0,"Germany",NA,NA,NA,3.89118320865712,76600311,78.7234194282177,17.2,11.9,NA,70.5215853658537,33.302,89.123,NA,NA,15501.9647222375,2.81218127523877,349130,0.851,0,3,18.1541116947548,NA,3.89118320865712,NA,2.66,NA,NA,NA,1.168,NA,NA,NA,NA,NA,NA,-2.72
"47",1966,"Group 2","T-03","Argentina","ARG",3,2,1,0,4,1,3,7,2,1,0,7,7,0,TRUE,0,0,"Argentina",NA,NA,NA,1.168,22453893,76.1834415173586,22.313,8.775,NA,65.398,25.751,99.258,6.65291738359955,4.98968803354159,8041.22487411475,-0.659726170629824,2736690,0.228,2,2,16.9269745646916,NA,1.168,NA,NA,3.89118320865712,NA,NA,3.85289574058252,-2.72,NA,NA,NA,NA,NA,2.68
"48",1966,"Group 3","T-58","Portugal","PRT",3,3,0,0,9,2,7,9,1,1,1,9,6,3,FALSE,1,3,"Portugal",NA,NA,NA,3.85289574058252,8930990,33.1990122657958,23.2,11.2,63.6,65.4876585365854,28.013,91.348,NA,NA,5713.62848221089,4.07790943398116,91500,0.118,0,2,16.00503780897,NA,3.85289574058252,2.66,NA,1.168,0.497411658789106,NA,NA,2.68,NA,NA,-2.72,NA,NA,NA
"49",1966,"Group 3","T-36","Hungary","HUN",3,2,0,1,7,5,2,6,2,1,0,9,6,3,FALSE,0,-3,"Hungary",NA,NA,NA,NA,10178653,54.4475121364666,13.6,10,38.9,69.8224390243902,32.686,93.76,NA,NA,3842.95403341451,7.39999999999996,90010,0.131,0,7,16.1358032420607,NA,NA,NA,3.89118320865712,3.85289574058252,2.05821005427826,NA,NA,NA,NA,NA,2.68,1.56,NA,NA
"50",1966,"Group 4","T-72","Soviet Union","SUN",3,3,0,0,6,1,5,9,1,1,1,9,4,5,FALSE,1,5,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.168,NA,NA,0.497411658789106,NA,NA,NA,-2.72,NA,NA,NA,NA
"51",1966,"Group 4","T-51","North Korea","PRK",3,1,1,1,2,4,-2,4,2,1,0,9,4,5,FALSE,0,-5,"Korea (the Democratic People's Republic of)",NA,NA,NA,NA,13569094,48.951937550475,36.594,9.777,65.6,59.423,20.346,85.96,NA,NA,NA,NA,120410,0.09,0,2,16.4233052646596,NA,NA,3.89118320865712,3.85289574058252,NA,3.35866826147039,2.05821005427826,NA,NA,NA,2.68,NA,NA,1.56,NA
"52",1970,"Group 1","T-72","Soviet Union","SUN",3,2,1,0,6,1,5,7,1,1,1,7,7,0,TRUE,1,0,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.168,NA,NA,2.88728955692843,NA,0.497411658789106,NA,-2.72,NA,NA,-0.47,NA,NA
